,iris,wine,mnist
SE1_train_flops_ann,9474300.0,25913580.0,99662256000.0
SE1_eval_train_flops_ann,107471.0,300899.0,1228448801.0
SE1_eval_train_acc_ann,0.3636363636363636,0.4014084507042254,0.7681250000000001
SE1_eval_test_flops_ann,39081.0,76285.0,307112201.0
SE1_eval_test_acc_ann,0.25,0.3888888888888889,0.7625
SE1_train_flops_pcn,181781639.6,656714253.6,1840148239617.4
SE1_eval_train_flops_pcn,8291429.4,30794988.4,45319400290.9
SE1_eval_train_acc_pcn,0.7927272727272727,0.9232394366197182,0.713125
SE1_eval_test_flops_pcn,2928447.2,8603120.8,11256956848.2
SE1_eval_test_acc_pcn,0.7875000000000001,0.9305555555555556,0.706
SE2_train_flops_ann,170537400.0,673753080.0,1893582864000.0
SE2_train_epochs_ann,540.0,780.0,570.0
SE2_eval_train_flops_ann,107471.0,300899.0,1228448801.0
SE2_eval_train_acc_ann,0.8727272727272728,0.997887323943662,0.974
SE2_eval_test_flops_ann,39081.0,76285.0,307112201.0
SE2_eval_test_acc_ann,0.7849999999999999,0.972222222222222,0.9700000000000001
SE2_train_flops_pcn,164941576.3,665173563.9,1834788412677.8
SE2_train_epochs_pcn,30.0,30.0,30.0
SE2_eval_train_flops_pcn,7166223.3,31930928.1,44632065865.9
SE2_eval_train_acc_pcn,0.7754545454545454,0.9218309859154928,0.7073750000000001
SE2_eval_test_flops_pcn,2893647.7,9062683.2,11115767164.4
SE2_eval_test_acc_pcn,0.745,0.925,0.6925000000000001
SE3_train_flops_ann,157905000.0,146843620.0,99662256000.0
SE3_train_epochs_ann,500.0,170.0,30.0
SE3_eval_train_flops_ann,107471.0,300899.0,1228448801.0
SE3_eval_train_acc_ann,0.7445454545454545,0.9112676056338028,0.774125
SE3_eval_test_flops_ann,39081.0,76285.0,307112201.0
SE3_eval_test_acc_ann,0.7975,0.85,0.7665
SE3_train_flops_pcn,1074041546.5,468353075.2,754315761030.7
SE3_train_epochs_pcn,210.0,20.0,10.0
SE3_eval_train_flops_pcn,59024135.1,30034749.0,61111390589.3
SE3_eval_train_acc_pcn,0.859090909090909,0.8929577464788732,0.798
SE3_eval_test_flops_pcn,18801398.9,8249307.0,15293477022.4
SE3_eval_test_acc_pcn,0.8775000000000001,0.8666666666666666,0.8009999999999999
