ann_acc0,ann_acc1,ann_acc2,ann_acc3,ann_acc4,ann_acc5,ann_acc6,ann_acc7,ann_acc8,ann_acc9,ann_flop0,ann_flop1,ann_flop2,ann_flop3,ann_flop4,ann_flop5,ann_flop6,ann_flop7,ann_flop8,ann_flop9
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.275,0.3,0.275,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.275,0.3,0.675,0.65,0.275,0.275,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.275,0.6,0.675,0.675,0.675,0.35,0.375,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.275,0.275,0.35,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.275,0.55,0.65,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.475,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.675,0.7,0.675,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
0.675,0.675,0.675,0.675,0.675,0.7,0.7,0.7,0.675,0.675,39081,39081,39081,39081,39081,39081,39081,39081,39081,39081
