agent,ann_tflops,pcn_tflops,ann_train_acc,ann_train_flops,ann_test_acc,ann_test_flops,pcn_train_acc,pcn_train_flops,pcn_test_acc,pcn_test_flops
0,9474300,188250555,0.36363636363636365,107471,0.25,39081,0.8090909090909091,9339408,0.8,3365673
1,9474300,185350946,0.36363636363636365,107471,0.25,39081,0.7545454545454545,8380989,0.775,3023747
2,9474300,181512180,0.36363636363636365,107471,0.25,39081,0.8272727272727273,8178504,0.8,2861570
3,9474300,185803140,0.36363636363636365,107471,0.25,39081,0.8454545454545455,8345811,0.8,2902072
4,9474300,185184660,0.36363636363636365,107471,0.25,39081,0.8272727272727273,8887179,0.8,3099005
5,9474300,178528762,0.36363636363636365,107471,0.25,39081,0.7545454545454545,7887472,0.75,2882238
6,9474300,172661681,0.36363636363636365,107471,0.25,39081,0.8,7693993,0.775,2712905
7,9474300,184674608,0.36363636363636365,107471,0.25,39081,0.8,8407375,0.8,2925996
8,9474300,180006775,0.36363636363636365,107471,0.25,39081,0.7727272727272727,7691540,0.775,2693272
9,9474300,175843089,0.36363636363636365,107471,0.25,39081,0.7363636363636363,8102023,0.8,2817994
