agent,ann_tflops,ann_epochs,pcn_tflops,pcn_epochs,ann_train_acc,ann_train_flops,ann_test_acc,ann_test_flops,pcn_train_acc,pcn_train_flops,pcn_test_acc,pcn_test_flops
0,170537400.0,540.0,170013044,30.0,0.8727272727272727,107471,0.8,39081,0.7818181818181819,7144916,0.7,2830829
1,170537400.0,540.0,164098144,30.0,0.9,107471,0.8,39081,0.7636363636363637,7683378,0.725,3161169
2,170537400.0,540.0,162441799,30.0,0.9,107471,0.8,39081,0.8090909090909091,7338221,0.825,3074646
3,170537400.0,540.0,164859249,30.0,0.8545454545454545,107471,0.775,39081,0.8,7075804,0.8,2889945
4,170537400.0,540.0,172019641,30.0,0.8090909090909091,107471,0.75,39081,0.8,8000582,0.775,3298014
5,170537400.0,540.0,160581637,30.0,0.8636363636363636,107471,0.775,39081,0.7363636363636363,6808048,0.7,2749018
6,170537400.0,540.0,166851545,30.0,0.8545454545454545,107471,0.775,39081,0.7545454545454545,6558155,0.725,2599698
7,170537400.0,540.0,166958663,30.0,0.8727272727272727,107471,0.775,39081,0.8181818181818182,7603016,0.75,2938422
8,170537400.0,540.0,158839169,30.0,0.8818181818181818,107471,0.8,39081,0.7454545454545455,6567987,0.75,2650430
9,170537400.0,540.0,162752872,30.0,0.9181818181818182,107471,0.8,39081,0.7454545454545455,6882126,0.7,2744306
