agent,ann_tflops,ann_epochs,pcn_tflops,pcn_epochs,ann_train_acc,ann_train_flops,ann_test_acc,ann_test_flops,pcn_train_acc,pcn_train_flops,pcn_test_acc,pcn_test_flops
0,99662256000.0,30.0,754878080874.0,10.0,0.77375,1228448801,0.775,307112201,0.79,60981101743,0.775,15153371996
1,99662256000.0,30.0,750410195699.0,10.0,0.78625,1228448801,0.775,307112201,0.81125,60140562615,0.8,15077454979
2,99662256000.0,30.0,750864091589.0,10.0,0.7825,1228448801,0.775,307112201,0.78875,62017450207,0.825,15616811706
3,99662256000.0,30.0,754164798718.0,10.0,0.76625,1228448801,0.755,307112201,0.81125,60640443114,0.82,15174742972
4,99662256000.0,30.0,759378452784.0,10.0,0.77375,1228448801,0.77,307112201,0.8,62046370221,0.815,15482609145
5,99662256000.0,30.0,755395737780.0,10.0,0.78,1228448801,0.77,307112201,0.8,61102407590,0.805,15226326123
6,99662256000.0,30.0,760050963648.0,10.0,0.7725,1228448801,0.76,307112201,0.7875,61422639091,0.76,15375911989
7,99662256000.0,30.0,756742963213.0,10.0,0.76875,1228448801,0.765,307112201,0.79875,61519322509,0.795,15505950605
8,99662256000.0,30.0,748788953330.0,10.0,0.77375,1228448801,0.755,307112201,0.78875,60749639310,0.79,15181870934
9,99662256000.0,30.0,752483372672.0,10.0,0.76375,1228448801,0.765,307112201,0.80375,60493969493,0.825,15139719775
