agent,ann_tflops,ann_epochs,pcn_tflops,pcn_epochs,ann_train_acc,ann_train_flops,ann_test_acc,ann_test_flops,pcn_train_acc,pcn_train_flops,pcn_test_acc,pcn_test_flops
0,1893582864000.0,570.0,1845606687965,30.0,0.975,1228448801,0.97,307112201,0.72,45479056232,0.68,11435145781
1,1893582864000.0,570.0,1814571401939,30.0,0.9725,1228448801,0.97,307112201,0.7125,43678615447,0.685,10970914688
2,1893582864000.0,570.0,1831186908370,30.0,0.9775,1228448801,0.97,307112201,0.70125,44237964094,0.7,10954340880
3,1893582864000.0,570.0,1840198722998,30.0,0.9725,1228448801,0.97,307112201,0.74125,46200576752,0.73,11225736743
4,1893582864000.0,570.0,1839073162980,30.0,0.975,1228448801,0.97,307112201,0.70125,44944311876,0.69,11216416258
5,1893582864000.0,570.0,1822102802893,30.0,0.975,1228448801,0.97,307112201,0.68,43725549953,0.69,10948140705
6,1893582864000.0,570.0,1840485902333,30.0,0.97125,1228448801,0.97,307112201,0.71625,45071971152,0.695,11215923412
7,1893582864000.0,570.0,1858164699107,30.0,0.97625,1228448801,0.97,307112201,0.68625,45009599780,0.655,11316508199
8,1893582864000.0,570.0,1827126271215,30.0,0.9725,1228448801,0.97,307112201,0.70625,43695320913,0.7,10797736165
9,1893582864000.0,570.0,1829367566978,30.0,0.9725,1228448801,0.97,307112201,0.70875,44277692460,0.7,11076808813
