agent,ann_tflops,ann_epochs,pcn_tflops,pcn_epochs,ann_train_acc,ann_train_flops,ann_test_acc,ann_test_flops,pcn_train_acc,pcn_train_flops,pcn_test_acc,pcn_test_flops
0,146843620.0,170.0,462179010.0,20.0,0.9647887323943662,300899,0.9166666666666666,76285,0.9154929577464789,29685619,0.8055555555555556,8020838
1,146843620.0,170.0,470123839.0,20.0,0.9507042253521126,300899,0.8888888888888888,76285,0.8802816901408451,29367604,0.9166666666666666,7944524
2,146843620.0,170.0,472354011.0,20.0,0.9084507042253521,300899,0.8611111111111112,76285,0.8873239436619719,31352233,0.9166666666666666,8596148
3,146843620.0,170.0,472130162.0,20.0,0.7746478873239436,300899,0.6666666666666666,76285,0.9295774647887324,31057854,0.8888888888888888,8630228
4,146843620.0,170.0,468642096.0,20.0,0.8098591549295775,300899,0.7222222222222222,76285,0.9154929577464789,30556188,0.8888888888888888,8333383
5,146843620.0,170.0,465591006.0,20.0,0.9225352112676056,300899,0.8611111111111112,76285,0.9014084507042254,29974503,0.9444444444444444,8356442
6,146843620.0,170.0,471868845.0,20.0,0.9577464788732394,300899,0.8888888888888888,76285,0.9014084507042254,30752425,0.8333333333333334,8387862
7,146843620.0,170.0,462953529.0,20.0,0.9366197183098591,300899,0.9166666666666666,76285,0.8591549295774648,28162677,0.8055555555555556,7882094
8,146843620.0,170.0,460702171.0,20.0,0.9507042253521126,300899,0.8888888888888888,76285,0.8450704225352113,28095321,0.8333333333333334,7919012
9,146843620.0,170.0,476986083.0,20.0,0.9366197183098591,300899,0.8888888888888888,76285,0.8943661971830986,31343066,0.8333333333333334,8422539
