agent,ann_tflops,pcn_tflops,ann_train_acc,ann_train_flops,ann_test_acc,ann_test_flops,pcn_train_acc,pcn_train_flops,pcn_test_acc,pcn_test_flops
0,25913580,644753577,0.4014084507042254,300899,0.3888888888888889,76285,0.9295774647887324,29464923,0.9444444444444444,8210869
1,25913580,650540060,0.4014084507042254,300899,0.3888888888888889,76285,0.9225352112676056,29163177,0.9444444444444444,8013382
2,25913580,682232352,0.4014084507042254,300899,0.3888888888888889,76285,0.9436619718309859,32964265,0.9444444444444444,9145489
3,25913580,655645051,0.4014084507042254,300899,0.3888888888888889,76285,0.9154929577464789,30239190,0.9444444444444444,8432634
4,25913580,651897063,0.4014084507042254,300899,0.3888888888888889,76285,0.9154929577464789,29779921,0.9166666666666666,8426519
5,25913580,659989503,0.4014084507042254,300899,0.3888888888888889,76285,0.9295774647887324,31567141,0.9166666666666666,8749893
6,25913580,650194865,0.4014084507042254,300899,0.3888888888888889,76285,0.9154929577464789,30466468,0.8888888888888888,8574848
7,25913580,647343225,0.4014084507042254,300899,0.3888888888888889,76285,0.9154929577464789,30640893,0.9166666666666666,8462840
8,25913580,666202215,0.4014084507042254,300899,0.3888888888888889,76285,0.9154929577464789,31057716,0.9444444444444444,8868021
9,25913580,658344625,0.4014084507042254,300899,0.3888888888888889,76285,0.9295774647887324,32606190,0.9444444444444444,9146713
