agent,ann_tflops,ann_epochs,pcn_tflops,pcn_epochs,ann_train_acc,ann_train_flops,ann_test_acc,ann_test_flops,pcn_train_acc,pcn_train_flops,pcn_test_acc,pcn_test_flops
0,673753080.0,780.0,654657157,30.0,1.0,300899,0.9722222222222222,76285,0.9014084507042254,30970673,0.9444444444444444,8724213
1,673753080.0,780.0,667669504,30.0,0.9929577464788732,300899,0.9722222222222222,76285,0.9225352112676056,32394300,0.9166666666666666,9216719
2,673753080.0,780.0,678872016,30.0,0.9929577464788732,300899,0.9722222222222222,76285,0.9295774647887324,33135292,0.9444444444444444,9233653
3,673753080.0,780.0,662313872,30.0,1.0,300899,0.9722222222222222,76285,0.9225352112676056,30651959,0.9166666666666666,8969037
4,673753080.0,780.0,677620147,30.0,1.0,300899,0.9722222222222222,76285,0.9225352112676056,35394386,0.9166666666666666,9881827
5,673753080.0,780.0,650002302,30.0,1.0,300899,0.9722222222222222,76285,0.9225352112676056,29288378,0.9166666666666666,8671575
6,673753080.0,780.0,665127589,30.0,1.0,300899,0.9722222222222222,76285,0.9295774647887324,30047515,0.8888888888888888,8550999
7,673753080.0,780.0,655650472,30.0,1.0,300899,0.9722222222222222,76285,0.9154929577464789,30878079,0.9444444444444444,8730945
8,673753080.0,780.0,670508429,30.0,1.0,300899,0.9722222222222222,76285,0.9366197183098591,33155931,0.9166666666666666,9248751
9,673753080.0,780.0,669314151,30.0,0.9929577464788732,300899,0.9722222222222222,76285,0.9154929577464789,33392768,0.9444444444444444,9399113
