,0,1,2,3,label
0,5.859999999999999,3.1,4.4,1.4,1
1,6.7,3.3,5.7,2.1,2
2,5.1,3.5,1.4,0.33999999999999997,0
3,5.7,3.0,4.2,1.2,1
4,6.8,2.8,4.8,1.4,1
5,5.6,3.0,4.5,1.5000000000000002,1
6,5.1,3.7,1.5,0.4,0
7,4.9,2.4,3.3,0.9999999999999999,1
8,5.0,3.5,1.6,0.6000000000000001,0
9,6.5,2.8,4.6,1.5000000000000002,1
10,7.2,3.6,6.1,2.5,2
11,6.1,2.9,4.3,1.3800000000000001,1
12,4.9,3.1,1.5,0.1,0
13,4.8,3.0,1.4,0.29999999999999993,0
14,6.1,3.0,4.9,1.8,2
15,4.9,3.1,1.5,0.1,0
16,6.3,3.3,4.7,1.6,1
17,6.4,3.1,5.5,1.8,2
18,4.4,2.9,1.4,0.20000000000000007,0
19,7.6,3.0,6.6,1.9,2
20,5.8,2.7,5.1,1.9,2
21,4.6,3.18,1.0,0.20000000000000007,0
22,5.4,3.7,1.5,0.20000000000000007,0
23,6.8,3.0,5.5,2.1,2
24,5.5,2.3,4.0,1.3,1
25,5.9,3.2,4.8,1.8,1
26,5.8,2.7,5.1,1.9,2
27,5.6,2.5,3.9,1.1,1
28,6.4,2.8,5.6,2.1,2
29,6.4,2.8,5.6,2.2,2
30,6.0,3.0,4.9399999999999995,1.8,2
31,5.1,3.8,1.9,0.4,0
32,6.5,3.0,5.8,2.2,2
33,7.0,3.2,4.7,1.4,1
34,7.7,2.8,6.7,2.0,2
35,5.8,2.8,5.1,1.7000000000000002,2
36,5.5,3.5,1.2999999999999998,0.20000000000000007,0
37,6.5,3.2,5.1,2.0,2
38,7.9,3.8,6.4,2.0,2
39,6.9,3.1,4.9,1.5000000000000002,1
40,6.7,3.1,5.6,2.4,2
41,5.4,3.4,1.5,0.4,0
42,4.7,3.2,1.6,0.20000000000000007,0
43,5.8,2.7,4.1,0.9999999999999999,1
44,7.04,2.6,6.9,2.3,2
45,4.8,3.1,2.04,0.42000000000000004,0
46,5.3,3.7,1.5,0.20000000000000007,0
47,4.6,3.2,1.4,0.20000000000000007,0
48,6.5,3.4,5.4,2.3,2
49,5.1,2.5,3.0,1.1,1
50,4.4,3.0,1.2999999999999998,0.20000000000000007,0
51,5.7,4.4,1.5,0.4,0
52,6.6,3.0,4.4,1.4,1
53,7.3,2.9,6.3,1.8,2
54,4.5,3.14,1.2999999999999998,0.29999999999999993,0
55,4.4,3.2,1.2999999999999998,0.20000000000000007,0
56,6.3,3.3,6.0,2.5,2
57,6.4,3.2,5.3,2.12,2
58,5.68,2.7,3.9,1.2,1
59,5.0,3.4,1.5,0.20000000000000007,0
60,6.34,3.0,5.2,2.3,2
61,6.1,2.9,4.7,1.4,1
62,6.2,2.8,4.5,1.5000000000000002,1
63,6.6,2.9,4.6,1.3,1
64,5.7,2.6,3.5,0.9999999999999999,1
65,6.1,2.8,4.0,1.3,1
66,6.7,3.1,4.7,1.5000000000000002,1
67,6.2,2.2,4.5,1.5000000000000002,1
68,6.3,2.7,4.9,1.8,2
69,6.2,2.8,4.8,1.8,2
70,5.0,3.2,1.2000000000000002,0.20000000000000007,0
71,7.2,3.2,6.0,1.8,2
72,5.9,3.0,5.1,1.8,2
73,6.3,3.4,5.6,2.4,2
74,6.22,2.9,5.6,1.8,2
75,5.1,3.8,1.5,0.29999999999999993,0
76,6.1,2.6,5.6,1.4,2
77,6.3,2.3,4.4,1.3,1
78,6.9,3.1,5.4,2.1,2
79,5.7,2.8,4.34,1.3,1
80,6.7,2.5,5.8,1.8,2
81,5.6,2.82,4.2,1.3,1
82,6.3,2.5,5.0,1.9,2
83,7.1,3.0,5.9,2.1,2
84,4.9,2.5,4.5,1.7,2
85,4.6,3.1,1.5,0.20000000000000007,0
86,5.5,4.2,1.4,0.20000000000000007,0
87,5.8,4.0,1.2000000000000002,0.2600000000000001,0
88,6.0,2.7,5.1,1.6,1
89,5.2,3.4,1.4,0.20000000000000007,0
90,5.0,3.0,1.6,0.20000000000000007,0
91,6.0,2.9,4.5,1.5000000000000002,1
92,5.0,3.4,1.6,0.4,0
93,6.8,3.2,5.9,2.3,2
94,5.2,2.7,3.9,1.4,1
95,5.0,3.5,1.2999999999999998,0.29999999999999993,0
96,4.8,3.0,1.4,0.18,0
97,6.3,2.8,5.1,1.9,2
98,5.5,2.4,3.8,1.1,1
99,6.0,3.4,4.5,1.6,1
100,6.5,3.0,5.2,2.0,2
101,5.4,3.9000000000000004,1.7000000000000002,0.4,0
102,4.6,3.4,1.4,0.21999999999999997,0
103,5.5,2.4,3.7,0.9999999999999999,1
104,6.0,2.2,4.0,0.9999999999999999,1
105,5.2,4.1,1.5,0.1,0
106,5.4,3.9000000000000004,1.2999999999999998,0.4,0
107,5.1,3.3,1.7000000000000002,0.5,0
108,6.7,3.0,5.0,1.7,1
109,7.7,3.8,6.7,2.2,2
