,0,1,2,3,4,5,6,7,8,9,10,11,12,label
0,14.75,1.73,2.39,11.4,91.0,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150.0,0
1,12.85,1.6,2.52,17.8,95.0,2.48,2.37,0.26,1.46,3.9299999999999997,1.09,3.63,1015.0,0
2,11.64,2.06,2.46,21.6,84.0,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680.0,1
3,12.25,3.88,2.2,20.2,112.0,1.38,0.7799999999999999,0.29,1.14,8.209999999999999,0.65,2.0,855.0,2
4,13.84,4.12,2.38,19.5,89.0,1.7999999999999998,0.8299999999999998,0.48,1.56,9.009999999999998,0.57,1.64,480.0,2
5,12.53,5.51,2.64,25.0,95.0,1.69,0.6000000000000001,0.63,1.1000000000000003,5.0,0.8200000000000001,1.69,515.0,2
6,11.96,1.0900000000000003,2.3,21.0,101.0,3.38,2.14,0.13,1.65,3.2099999999999995,0.99,3.13,886.0,1
7,13.67,1.25,1.92,18.0,94.0,2.1,1.79,0.32,0.7300000000000001,3.8,1.23,2.998,630.0,1
8,12.42,1.6099999999999999,2.182,22.5,108.0,2.0,2.09,0.34,1.61,2.8200000000000003,1.06,2.96,345.0,1
9,13.402000000000001,5.65,2.45,20.5,95.0,1.68,0.6099999999999999,0.52,1.06,7.7,0.64,1.74,740.0,2
10,12.17,1.45,2.53,19.0,104.0,1.8899999999999997,1.75,0.45,1.03,2.95,1.45,2.23,355.0,1
11,13.32,3.24,2.38,21.5,92.0,1.93,0.7599999999999999,0.45,1.25,8.42,0.55,1.62,650.0,2
12,12.29,1.6099999999999999,2.21,20.4,103.0,2.028,1.02,0.37,1.46,3.05,0.906,3.16,870.0,1
13,14.38,1.87,2.38,12.0,102.0,3.3,3.64,0.29,2.96,7.499999999999999,1.2,3.0,1547.0,0
14,14.37,1.9500000000000002,2.5,16.8,113.0,3.85,3.4900000000000007,0.24,2.18,7.8,0.86,3.45,1480.0,0
15,12.36,3.83,2.38,21.0,88.0,2.3,0.9200000000000002,0.5,1.04,7.6499999999999995,0.56,1.58,520.0,2
16,13.05,1.7699999999999998,2.1,17.0,107.0,3.0,3.0,0.28,2.03,5.039999999999999,0.8800000000000001,3.35,885.0,0
17,13.49,3.59,2.19,19.5,88.0,1.6760000000000002,0.47999999999999987,0.58,0.8800000000000001,5.7,0.81,1.82,580.0,2
